,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
37500,"May 10, 2015",South Carolina,North Charleston,5200 block of Westview Street,0,1,http://www.gunviolencearchive.org/incident/337509,http://www.postandcourier.com/article/20150511/PC16/150519864/north-charleston-man-wounded-after-hearing-banging-on-door
37501,"May 10, 2015",West Virginia,Huntington,20th Street,0,1,http://www.gunviolencearchive.org/incident/338260,http://www.wowktv.com/story/29025144/man-shot-at-a-huntington-bar-police-now-investigating
37502,"May 10, 2015",Illinois,Carbondale,2400 block of East Main Street,1,0,http://www.gunviolencearchive.org/incident/338938,http://thesouthern.com/news/local/communities/carbondale/updated-carbondale-man-gets-years-in-fatal-shooting/article_1e51d639-2386-5e8b-a63d-89cce3a17dd6.html
37503,"May 10, 2015",Minnesota,Saint Paul (New Brighton),1400 block of 20th Avenue Northwest,0,1,http://www.gunviolencearchive.org/incident/340609,http://www.lillienews.com/articles/2015/05/27/man-charged-first-degree-assault-new-brighton-shooting
37504,"May 10, 2015",Louisiana,New Orleans,Wilson Avenue and Chef Menteur Highway,0,0,http://www.gunviolencearchive.org/incident/337623,http://www.nola.com/crime/index.ssf/2015/05/carjacking_reported_early_sund.html
37505,"May 10, 2015",Mississippi,Jackson,West Street,0,1,http://www.gunviolencearchive.org/incident/340226,https://www.clarionledger.com/story/news/local/2015/05/11/jackson-nightclub-shooting/27109145/
37506,"May 10, 2015",Illinois,Chicago,3100 block of West Madison Street,0,1,http://www.gunviolencearchive.org/incident/337625,https://www.dnainfo.com/chicago/20150510/austin/2-dead-8-others-wounded-shootings-since-saturday-afternoon-police-say
37507,"May 10, 2015",Ohio,Trotwood,4000 block of Mayview Drive,0,1,http://www.gunviolencearchive.org/incident/338265,http://www.whio.com/news/news/crime-law/woman-faces-charge-after-5-year-old-shoots-self/nmFPc/
37508,"May 10, 2015",Texas,Houston,4460 South MacGregor,0,1,http://www.gunviolencearchive.org/incident/348947,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=53675&menugroup=Home
37509,"May 10, 2015",North Carolina,Kinston,East Bright Street,0,0,http://www.gunviolencearchive.org/incident/340894,http://www.witn.com/news/crime/headlines/Bullets-hit-Kinston-church-apartment-in-Sunday-shooting-303274391.html
37510,"May 10, 2015",Illinois,Chicago,4200 block of West Division Street,0,1,http://www.gunviolencearchive.org/incident/337632,https://www.dnainfo.com/chicago/20150510/humboldt-park/man-wounded-humboldt-park-shooting-police-say
37511,"May 10, 2015",Louisiana,New Orleans,7100 block of Middleboro Road,0,1,http://www.gunviolencearchive.org/incident/337635,http://www.nola.com/crime/index.ssf/2015/05/nopd_says_motorist_shot_in_eas.html
37512,"May 9, 2015",Wisconsin,Fitchburg,3300 block of Leopold Way,0,1,http://www.gunviolencearchive.org/incident/337270,http://www.channel3000.com/news/police-shotout-window-glass-injures-child-in-violent-armed-robbery/32908292
37513,"May 9, 2015",Kentucky,Barbourville,Cougar Edge Road,0,1,http://www.gunviolencearchive.org/incident/339159,http://wate.com/2015/05/12/barbourville-ky-man-shot-in-the-back/
37514,"May 9, 2015",New York,Queens,Sutphin Boulevard and 111th Avenue,1,0,http://www.gunviolencearchive.org/incident/337056,http://www.nbcnewyork.com/news/local/Man-Gunned-Down-in-Queens-Police-303181351.html
37515,"May 9, 2015",Washington,Marysville,6427 56th Pl NE,0,0,http://www.gunviolencearchive.org/incident/338810,http://www.heraldnet.com/article/20150603/NEWS01/150609717/Felony-assault-charge-for-wife-in-Marysville-domestic-dispute
37516,"May 9, 2015",Iowa,Davenport,1200 block of Pershing Ave,0,0,http://www.gunviolencearchive.org/incident/339121,http://kwqc.com/2015/05/09/bullets-hit-two-davenport-houses-homeowners-speak-out/
37517,"May 9, 2015",California,Los Angeles,700 block of East 24th Street,0,2,http://www.gunviolencearchive.org/incident/337293,http://www.dailynews.com/general-news/20150509/2-shot-wounded-in-south-los-angeles
37518,"May 9, 2015",Texas,Fort Worth,2900 block of Briery Street,0,1,http://www.gunviolencearchive.org/incident/337309,http://www.nbcdfw.com/news/local/Woman-Shot-in-Fort-Worth-303194631.html
