,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
40500,"November 2, 2015",Massachusetts,Boston,Dorchester Avenue and Faulkner Street,0,0,http://www.gunviolencearchive.org/incident/441545,http://bpdnews.com/news/2015/11/3/one-less-gun-bpd-assists-transit-police-officer-in-recovering-firearm-from-16-year-old-juvenile
40501,"November 2, 2015",Massachusetts,Boston,Blue Hill Avenue and Rhoades Street,0,0,http://www.gunviolencearchive.org/incident/441547,http://bpdnews.com/news/2015/11/3/one-less-gun-officers-keen-observations-lead-to-arrest-recovered-firearm
40502,"November 2, 2015",Massachusetts,Springfield,68 Osgood Street,0,0,http://www.gunviolencearchive.org/incident/440885,http://www.masslive.com/news/index.ssf/2015/11/springfield_police_tactical_re.html#incart_river
40503,"November 2, 2015",New Mexico,Raton,800 block of N. 2nd Street,0,2,http://www.gunviolencearchive.org/incident/442263,http://www.kob.com/article/stories/S3952500.shtml?cat=504#.VjrAbPlViko
40504,"November 2, 2015",Massachusetts,Brockton,Owens Avenue,0,0,http://www.gunviolencearchive.org/incident/440900,http://m.enterprisenews.com/article/20151102/NEWS/151109502/13406/NEWS
40505,"November 2, 2015",Massachusetts,Brockton,Cross Street,0,0,http://www.gunviolencearchive.org/incident/440901,http://m.enterprisenews.com/article/20151102/NEWS/151109502/13406/NEWS
40506,"November 2, 2015",Illinois,Chicago,8000 S Damen Ave,1,0,http://www.gunviolencearchive.org/incident/440972,https://chicago.suntimes.com/crime/2019/12/18/21028412/gunman-90-years-for-tyshawn-lee-murder-accomplice-65-years
40507,"November 2, 2015",Texas,Dallas,,0,0,http://www.gunviolencearchive.org/incident/620910,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=62612&menugroup=Home
40508,"November 2, 2015",Connecticut,Hartford,24 Babcock Street,0,0,http://www.gunviolencearchive.org/incident/441568,http://www.courant.com/breaking-news/hc-hartford-drug-bust-1104-20151103-story.html
40509,"November 2, 2015",West Virginia,Huntington,Washington Avenue and West 7th Street,0,2,http://www.gunviolencearchive.org/incident/441027,http://www.herald-dispatch.com/news/blotter-man-shot-during-armed-robbery-in-huntington/article_ef35edb4-64ec-5295-aeb0-1fa2df480ca2.html
40510,"November 2, 2015",Kentucky,Lexington,Augusta Drive,0,1,http://www.gunviolencearchive.org/incident/440454,http://www.lex18.com/story/30407352/lexington-man-taken-to-hospital-after-being-shot-in-the-leg
40511,"November 2, 2015",Kentucky,Lexington,Pimlico Parkway,0,1,http://www.gunviolencearchive.org/incident/440939,http://www.lex18.com/story/30407162/man-robbed-at-gunpoint-in-lexington
40512,"November 2, 2015",Delaware,Wilmington,3rd and North Harrison Street,0,2,http://www.gunviolencearchive.org/incident/440963,http://www.wdel.com/news/men-charged-in-broad-daylight-shooting-in-wilmington-that-injured/article_68b19352-10c5-11e7-872d-47569ee78c05.html
40513,"November 2, 2015",Illinois,New Lenox,21701 South Gougar Rd,0,0,http://www.gunviolencearchive.org/incident/441167,http://www.theherald-news.com/2015/11/03/teen-who-brought-gun-to-lincoln-way-west-charged-as-adult/app3r37/
40514,"November 2, 2015",Minnesota,Minneapolis,29th and Irving Avenue,0,0,http://www.gunviolencearchive.org/incident/447855,http://www.startribune.com/charges-stranger-grabs-girl-off-dark-street-rapes-her-in-2-minneapolis-alleys/346935402/
40515,"November 2, 2015",Kentucky,Louisville,500 block of N. 27th Street,0,0,http://www.gunviolencearchive.org/incident/440959,http://www.wave3.com/story/30412419/patron-charged-with-pulling-gun-on-club-security-guard
40516,"November 2, 2015",Nebraska,Omaha,36th and Pratt Street,0,3,http://www.gunviolencearchive.org/incident/441596,http://www.ketv.com/news/multiple-injured-in-driveby-shooting-reported-near-36th-pratt/36208748
40517,"November 2, 2015",Indiana,Indianapolis,South East Street and Orange Street,0,1,http://www.gunviolencearchive.org/incident/441398,http://fox59.com/2015/11/03/impd-officer-injured-in-shooting-on-near-south-side/
40518,"November 2, 2015",Maine,Augusta,284 Western Avenue,0,0,http://www.gunviolencearchive.org/incident/441604,http://www.centralmaine.com/2015/11/03/seven-arrested-in-augusta-drug-busts/
40519,"November 2, 2015",North Carolina,Winston Salem (Winston-salem),1000 Hanes Mall Blvd,1,0,http://www.gunviolencearchive.org/incident/442085,http://myfox8.com/2015/11/03/no-charges-after-suspect-shot-while-trying-to-rob-winston-salem-jewelry-store/
40520,"November 2, 2015",Mississippi,Jackson,Mosley Avenue and Rockdale Drive,0,1,http://www.gunviolencearchive.org/incident/441620,http://www.msnewsnow.com/story/30413942/man-shot-at-west-jackson-intersection
40521,"November 2, 2015",Tennessee,Madison,East Old Hickory Boulevard,0,1,http://www.gunviolencearchive.org/incident/440993,http://wkrn.com/2015/11/02/man-robbed-shot-in-madison-by-teens-1-suspect-wearing-jason-mask/
40522,"November 2, 2015",Florida,Palmetto,3824 US 41,1,0,http://www.gunviolencearchive.org/incident/440640,http://www.bradenton.com/news/local/crime/article42187986.html
40523,"November 2, 2015",Kentucky,Bowling Green,I-65,0,0,http://www.gunviolencearchive.org/incident/440887,http://www.wmcactionnews5.com/story/30410820/shot-fired-during-i-65-road-rage-incident-in-warren-co
40524,"June 14, 2015",Ohio,Cincinnati,2026 Harrison Ave,0,1,http://www.gunviolencearchive.org/incident/357552,http://www.local12.com/news/features/top-stories/stories/Police-arrest-robbery-and-shooting-suspect-152197.shtml
40525,"June 14, 2015",Tennessee,Chattanooga,500 block of Central Avenue,0,1,http://www.gunviolencearchive.org/incident/358359,http://www.newschannel9.com/news/top-stories/stories/man-charged-attempted-first-degree-murder-18254.shtml
40526,"June 14, 2015",Ohio,Cleveland,West 85th Street and Detroit Avenue,0,0,http://www.gunviolencearchive.org/incident/357787,http://www.cleveland.com/metro/index.ssf/2015/06/man_accused_in_cleveland_polic.html
40527,"June 14, 2015",Texas,Houston,6723 London Street,1,0,http://www.gunviolencearchive.org/incident/357983,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=54059&menugroup=Home
40528,"June 14, 2015",Nebraska,Omaha,120th Street and Pedersen Drive,0,1,http://www.gunviolencearchive.org/incident/359773,http://www.ketv.com/news/omaha-police-investigating-shooting-sunday/33577286
40529,"June 14, 2015",California,Long Beach,3030 East Artesia Blvd,0,2,http://www.gunviolencearchive.org/incident/358154,http://da.lacounty.gov/sites/default/files/pdf/JSID_OIS_Arroyo.pdf
40530,"June 14, 2015",Florida,Cocoa,4445 State Road 520,1,1,http://www.gunviolencearchive.org/incident/358258,http://www.wesh.com/news/girl-16-charged-as-adult-in-shooting-of-fhp-trooper/34017138
40531,"June 14, 2015",Indiana,Indianapolis,400 block of North Hamilton Avenue,0,2,http://www.gunviolencearchive.org/incident/357549,http://wishtv.com/2015/06/15/impd-names-suspect-shot-in-officer-involved-shooting/
40532,"June 14, 2015",Nebraska,Fremont,300 block of West Military,0,0,http://www.gunviolencearchive.org/incident/359810,http://www.wowt.com/home/headlines/Shooting-In-Fremont-One-Person-Injured-307423861.html
40533,"June 14, 2015",Illinois,Elgin,1100 block of Sherwood Avenue,1,0,http://www.gunviolencearchive.org/incident/359193,http://abc7chicago.com/news/man-found-dead-in-elgin-street-police-say/784249/
40534,"June 14, 2015",South Carolina,Ridgeland,Oak Hill Road,1,0,http://www.gunviolencearchive.org/incident/357795,http://www.walb.com/story/29346626/suspect-in-ridgeland-homicide-turns-himself-in
40535,"June 14, 2015",Texas,Dallas,3211 Reynolds Avenue,0,4,http://www.gunviolencearchive.org/incident/357999,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=54064&menugroup=Home
40536,"June 14, 2015",Connecticut,Hartford,Albany Avenue,0,1,http://www.gunviolencearchive.org/incident/357846,http://www.wfsb.com/story/29315051/hartford-police-investigate-after-man-shot-in-leg
40537,"June 14, 2015",Texas,Houston,5901 Selinsky,1,0,http://www.gunviolencearchive.org/incident/359827,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=54075&menugroup=Home
40538,"June 14, 2015",North Carolina,Elizabeth City,1144 N Road St,0,1,http://www.gunviolencearchive.org/incident/358365,http://wavy.com/2015/06/14/n-c-psych-patient-steals-cops-gun-fires-shots/
40539,"June 14, 2015",North Carolina,Fayetteville,Our Street,0,0,http://www.gunviolencearchive.org/incident/358645,http://www.fayobserver.com/news/local/shots-fired-no-injuries-at-sunday-house-party/article_09ea67a2-9835-5120-af22-7504c99ccd04.html
40540,"June 14, 2015",Massachusetts,Springfield,Dwight St and Worthington St,0,1,http://www.gunviolencearchive.org/incident/357855,http://www.masslive.com/news/index.ssf/2015/06/worthington_street_shooting_le.html#incart_river
40541,"June 14, 2015",Montana,Marion,266 Pleasant Valley Road,0,2,http://www.gunviolencearchive.org/incident/358745,http://missoulian.com/news/local/man-arrested-in-marion-shooting-second-victim-revealed/article_9ded1cc1-33c8-5074-b8e2-f0025f93ee37.html
40542,"June 14, 2015",Wisconsin,Milwaukee,64th and West Florist,0,1,http://www.gunviolencearchive.org/incident/357880,http://fox6now.com/2015/06/14/police-three-people-shot-injured-in-separate-shooting-incidents-overnight/
40543,"June 14, 2015",Wisconsin,Milwaukee,4300 block of North 83rd,0,1,http://www.gunviolencearchive.org/incident/357882,http://fox6now.com/2015/06/14/police-three-people-shot-injured-in-separate-shooting-incidents-overnight/
40544,"June 14, 2015",North Carolina,Richlands,Comfort Road,0,0,http://www.gunviolencearchive.org/incident/365894,http://www.witn.com/home/headlines/One-of-three-Onslow-County-home-invasion-suspects-arrested-310805581.html
40545,"June 14, 2015",Wisconsin,Milwaukee,49th and Hadley,0,2,http://www.gunviolencearchive.org/incident/357884,http://fox6now.com/2015/06/14/developing-at-least-two-people-shot-near-49th-and-hadley-police-investigating/
40546,"June 14, 2015",New York,Lake Luzerne,Pierpont Road,0,0,http://www.gunviolencearchive.org/incident/359412,http://www.cbs6albany.com/news/features/top-story/stories/2-charged-hate-crime-warren-co-26459.shtml
40547,"June 14, 2015",Florida,Orlando,Rodrick Circle,0,1,http://www.gunviolencearchive.org/incident/357893,http://www.wesh.com/news/shooting-victim-pulls-gun-on-attackers/33579258
40548,"June 14, 2015",Florida,Mims,,1,0,http://www.gunviolencearchive.org/incident/357635,http://jacksonville.com/news/crime/2015-06-14/story/volusia-county-man-shoots-fatally-himself-after-questioning-if-gun-still
40549,"June 14, 2015",South Carolina,Eutawville,Moncks Corner Road and Miracle Drive,0,2,http://www.gunviolencearchive.org/incident/359041,http://thetandd.com/news/man-tried-to-kill-four-warrants/article_3abc2a9c-2e17-5580-a729-f224e02de907.html
40550,"June 14, 2015",Michigan,Flint,2500 block of Fox Ln,1,0,http://www.gunviolencearchive.org/incident/357711,http://www.mlive.com/news/flint/index.ssf/2015/06/police_identify_woman_shot_kil.html#incart_river
40551,"June 14, 2015",North Carolina,Fayetteville,7241 Reedy Creek Drive,0,0,http://www.gunviolencearchive.org/incident/359314,http://abc11.com/news/man-wanted-for-fayetteville-home-invasions-captured/841145/
40552,"June 14, 2015",Alabama,Mobile,Bel Air Boulevard and Cottage Hill Road,0,1,http://www.gunviolencearchive.org/incident/360248,http://wkrg.com/2015/06/15/man-shot-in-convenience-store-parking-lot/
40553,"June 14, 2015",Tennessee,Memphis,600 block of Mississippi Street,0,1,http://www.gunviolencearchive.org/incident/360265,http://www.wmcactionnews5.com/story/29353314/police-seek-20-year-old-attempted-murder-suspect
40554,"June 14, 2015",Arkansas,Little Rock,,0,0,http://www.gunviolencearchive.org/incident/359557,http://www.arkansasonline.com/news/2015/jun/15/man-accused-shooting-girlfriends-home/?f=crime
40555,"June 14, 2015",Arkansas,Batesville,,0,0,http://www.gunviolencearchive.org/incident/359563,http://www.kait8.com/story/29342989/police-arrest-independence-co-officers-widow
40556,"June 14, 2015",Ohio,Wellston,West 13th Street,1,0,http://www.gunviolencearchive.org/incident/359200,http://www.wsaz.com/home/headlines/Continuance-Granted-for-Alleged-Suspect-in-Shooting-Death-of-Teenager-311863501.html
