Unnamed: 0,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
259,"April 14, 2020",Missouri,Saint Louis,,0,1,http://www.gunviolencearchive.org/incident/1660066,https://www.ksdk.com/article/news/crime/2-dead-4-injured-in-tuesday-night-shootings-in-the-city-of-st-louis/63-aedb117a-02e8-4b7f-9de2-5be3402d6949
260,"April 14, 2020",North Carolina,Maxton,11400 block of NC-130,1,0,http://www.gunviolencearchive.org/incident/1659485,https://wpde.com/news/local/teen-arrested-in-connection-to-shooting-death-in-robeson-county
261,"April 14, 2020",Hawaii,Lahaina,85 Ikaika Pl,1,0,http://www.gunviolencearchive.org/incident/1659891,https://www.mauinews.com/news/local-news/2020/04/witness-hears-suspect-say-go-to-hell-then-hears-a-pop/
262,"April 14, 2020",Ohio,Dayton,Banker St and S Euclid Ave,0,0,http://www.gunviolencearchive.org/incident/1659498,https://www.whio.com/home/police-investigating-an-armed-robbery-with-shots-fired-dayton/FU4MWHEPXVBGZKFFFYQ32VL3EA/?fbclid=IwAR0Wyakz3CVV6lBR8qgM-EqINlo02s6btEZ7aTEweVBNOvhrh1UISyo38OE
263,"April 14, 2020",Indiana,Jeffersonville,Louise St and Long St,0,0,http://www.gunviolencearchive.org/incident/1659513,https://www.newsandtribune.com/news/man-arrested-for-battery-firing-shots-in-jeffersonville/article_8ca9d1c0-7eb3-11ea-b984-8f587cbcdef3.html
264,"April 13, 2020",Illinois,Peoria,1500 block of W Kettelle St,0,0,http://www.gunviolencearchive.org/incident/1660887,https://www.pjstar.com/news/20200416/shell-casings-recovered-in-shots-fired-incident
265,"April 13, 2020",Michigan,Detroit,Emery St and St Aubin St,0,1,http://www.gunviolencearchive.org/incident/1658272,https://twitter.com/DetroitScanner/status/1249552522873843718
266,"April 13, 2020",Arizona,Sierra Vista,1400 block of Ocotillo Dr,0,0,http://www.gunviolencearchive.org/incident/1658288,https://www.kgun9.com/news/local-news/sierra-vista-police-arrest-man-for-firing-gun-inside-home-while-intoxicated
267,"April 13, 2020",Tennessee,Memphis,Titus Rd and Mallory Rd,1,0,http://www.gunviolencearchive.org/incident/1755217,https://www.wmcactionnews5.com/2020/08/03/no-arrests-made-months-after-mysterious-murder-father-family-looking-answers/
268,"April 13, 2020",Michigan,Detroit,W McNichols Rd and Lindsay St,0,2,http://www.gunviolencearchive.org/incident/1658266,https://twitter.com/DetroitScanner/status/1249769702043398146
269,"April 13, 2020",Virginia,Norfolk,3800 block of Colley Ave,0,0,http://www.gunviolencearchive.org/incident/1658292,https://www.wavy.com/news/local-news/norfolk/norfolk-man-charged-after-shots-fired-on-colley-avenue/
270,"April 13, 2020",Michigan,Detroit,19100 Stahelin Ave,0,2,http://www.gunviolencearchive.org/incident/1658933,https://www.clickondetroit.com/news/local/2020/04/13/two-shot-by-known-person-while-inside-car-in-detroit/
271,"April 13, 2020",New York,Latham,119 Old Loudon Rd,0,0,http://www.gunviolencearchive.org/incident/1658623,https://cbs6albany.com/news/local/colonie-police-suspected-vehicle-involved-in-shooting-located-in-troy
272,"April 13, 2020",Michigan,Flint,1900 block of Tebo St,1,0,http://www.gunviolencearchive.org/incident/1658184,https://www.mlive.com/news/flint/2020/04/mother-of-4-killed-in-flint-drive-by-shooting.html
273,"April 13, 2020",Michigan,Rochester (Oakland Twp),3400 block of Sussex Dr,0,0,http://www.gunviolencearchive.org/incident/1658953,https://wwjnewsradio.radio.com/articles/news/rochester-teen-caught-with-stolen-gun-in-oakland-township
274,"April 13, 2020",Louisiana,New Orleans,US-90,0,1,http://www.gunviolencearchive.org/incident/1658302,https://www.nola.com/news/crime_police/article_b0b6574c-7dcc-11ea-bc10-a7999c13f030.html
275,"April 13, 2020",Texas,Austin,600 block of Brushy St,0,0,http://www.gunviolencearchive.org/incident/1674730,https://www.bigcountryhomepage.com/news/nfl-star-earl-thomas-wife-arrested-austin-police-say-she-held-him-at-gunpoint-over-affair/
276,"April 13, 2020",Alabama,Birmingham,4800 block of Messer Airport Hwy,1,0,http://www.gunviolencearchive.org/incident/1658402,https://www.al.com/news/birmingham/2020/04/suspect-charged-in-last-weeks-deadly-drive-by-shooting-on-east-birmingham-roadway.html
277,"April 13, 2020",Michigan,Allen Park,16000 block of Euclid Ave,0,0,http://www.gunviolencearchive.org/incident/1674747,https://www.thenewsherald.com/news/ballistic-vest-gun-stolen-out-of-detroit-firefighter-s-vehicle-in-allen-park/article_d10c40f6-9096-11ea-8c91-1f0431582e94.html
278,"April 13, 2020",Indiana,Greenwood,300 block of Legacy Blvd,1,1,http://www.gunviolencearchive.org/incident/1657955,https://www.wthr.com/article/update-greenwood-woman-dies-after-shooting-leads-standoff-police
279,"April 13, 2020",Illinois,Chicago,2952 E 81st St,1,0,http://www.gunviolencearchive.org/incident/1658306,https://chicago.suntimes.com/crime/2020/5/8/21252527/carlo-beck-murder-charge-michael-archer-south-chicago-shooting-homicide-81st
280,"April 13, 2020",Washington,Seattle,1400 block of E Republican St,0,0,http://www.gunviolencearchive.org/incident/1658985,https://spdblotter.seattle.gov/2020/04/14/police-seize-two-guns-arrest-teen-on-capitol-hill/
281,"April 13, 2020",Alabama,Birmingham,716 Ave H,1,0,http://www.gunviolencearchive.org/incident/1658399,https://www.al.com/news/birmingham/2020/04/2-young-men-killed-hours-apart-in-unrelated-birmingham-shootings-now-identified.html
282,"April 13, 2020",Texas,Arlington,3100 block of E Park Row Dr,0,1,http://www.gunviolencearchive.org/incident/1658334,https://www.nbcdfw.com/news/local/man-injured-in-overnight-shooting-in-arlington/2350391/
283,"April 13, 2020",Connecticut,Waterbury,Adams St Ext and Hawkins St,0,1,http://www.gunviolencearchive.org/incident/1658836,https://www.rep-am.com/local/localnews/2020/04/14/man-critically-injured-after-north-end-shooting/
284,"April 13, 2020",West Virginia,Davis Creek,1000 block of Berry Hills Dr,0,0,http://www.gunviolencearchive.org/incident/1658347,https://www.wowktv.com/news/west-virginia/cruiser-overturns-while-responding-to-shots-fire-call/
285,"April 13, 2020",California,Los Angeles,88th St and McKinley Ave,0,1,http://www.gunviolencearchive.org/incident/1658350,https://mynewsla.com/crime/2020/04/13/19-year-old-shot-in-south-los-angeles-two-suspects-at-large/
286,"April 13, 2020",New Mexico,Albuquerque,9300 block of Volcano Rd NW,1,0,http://www.gunviolencearchive.org/incident/1658264,https://www.abqjournal.com/1446238/police-id-west-central-homicide-victim.html
287,"April 13, 2020",Missouri,Saint Louis,N 13th St and Cass Ave,0,1,http://www.gunviolencearchive.org/incident/1658357,https://fox2now.com/news/police-man-shot-just-north-of-downtown-st-louis/
288,"April 13, 2020",Missouri,Saint Joseph,3100 block of Mitchell Ave,0,0,http://www.gunviolencearchive.org/incident/1658360,https://www.newspressnow.com/news/local_news/police-respond-to-stabbing-shooting-early-monday-morning/article_d609c5cc-7d79-11ea-823d-5bbe535d6bf2.html
289,"April 15, 2020",New Jersey,Newark,90 Block of Clinton Place,0,0,http://www.gunviolencearchive.org/incident/1668444,https://www.rlsmedia.com/article/man-wanted-newark-south-ward-shooting
290,"April 15, 2020",Texas,Rowlett,9700 block of Lakeview Pkwy,0,0,http://www.gunviolencearchive.org/incident/1662216,https://www.wfaa.com/article/news/local/rowlett-man-accused-of-kidnapping-four-month-old/287-f6eef72c-7d3a-4545-95df-72017170fd65
291,"April 15, 2020",Texas,Port Arthur,5801 Twin City Hwy,1,0,http://www.gunviolencearchive.org/incident/1660291,https://www.12newsnow.com/article/news/crime/port-arthur-murder-suspect-arrested-in-louisiana-with-over-2000-ecstasy-pills/502-f88565bf-d5e9-4f5e-b002-069050529d9a
292,"April 15, 2020",Nebraska,Blair,1100 block of Adams St,1,0,http://www.gunviolencearchive.org/incident/1659871,https://www.omaha.com/news/crime/authorities-identify-man-fatally-shot-by-law-enforcement-in-blair/article_901364cc-3f91-57bc-b013-9bc7a57c5cae.html
293,"April 14, 2020",Illinois,Chicago Heights,200 block of E 14th St,1,0,http://www.gunviolencearchive.org/incident/1661952,https://chicago.suntimes.com/2020/4/19/21227248/jermaine-fleming-shot-killed-chicago-heights
294,"April 14, 2020",Oklahoma,Tulsa,1818 W 81st St,1,1,http://www.gunviolencearchive.org/incident/1659044,https://ktul.com/news/local/tulsa-police-arrest-man-who-allegedly-shot-2-people-killing-1-and-paralyzing-another
295,"April 14, 2020",Kansas,Wichita,5800 block of E Skinner St,2,0,http://www.gunviolencearchive.org/incident/1658864,https://www.kwch.com/content/news/Police-Man-shoots-girlfriend-then-himself-in-SE-Wichita-murder-suicide-569631311.html
296,"April 14, 2020",South Dakota,Aberdeen,2511 US-281,0,1,http://www.gunviolencearchive.org/incident/1658869,https://www.aberdeennews.com/news/teen-taken-to-hospital-after-reportedly-shooting-himself/article_8a030726-7e62-11ea-8d55-bf85e7112432.html?block_id=475371
297,"April 14, 2020",Oregon,Oregon City,19001 S. Beavercreek Rd,0,0,http://www.gunviolencearchive.org/incident/1663404,https://www.flashalert.net/id/OCPolice
298,"April 14, 2020",California,Oakland,3000 block of Seminary Ave,0,1,http://www.gunviolencearchive.org/incident/1659581,https://www.eastbaytimes.com/2020/04/15/man-shot-multiple-times-in-oakland-home-invasion-robbery/
299,"April 14, 2020",New York,Staten Island,Sobel Ct,1,0,http://www.gunviolencearchive.org/incident/1658923,https://www.nydailynews.com/new-york/nyc-crime/ny-man-shot-dead-queens-street-20200415-ulprv7jnvfhllkelx5eardxxti-story.html
300,"April 14, 2020",California,Los Angeles,3000 block of Ellington Dr,0,0,http://www.gunviolencearchive.org/incident/1659625,https://losangeles.cbslocal.com/2020/04/15/shots-fired-in-hollywood-hills-neighborhood/
301,"April 14, 2020",California,Modesto,Middlecoff Ave,0,0,http://www.gunviolencearchive.org/incident/1662025,https://www.modbee.com/news/local/crime/article242122241.html
302,"April 14, 2020",California,Modesto,Larkin Ave,0,0,http://www.gunviolencearchive.org/incident/1662031,https://www.modbee.com/news/local/crime/article242122241.html
303,"April 14, 2020",Missouri,Kansas City,E 59th St and Norfleet Ave,0,1,http://www.gunviolencearchive.org/incident/1659039,https://www.kansascity.com/news/local/crime/article242059076.html
304,"April 14, 2020",Louisiana,Baton Rouge,Lake Sherwood Ave,1,0,http://www.gunviolencearchive.org/incident/1658897,https://www.theadvocate.com/baton_rouge/news/crime_police/article_d1d5be9e-7e9a-11ea-bcbf-6ba076f7366a.html
305,"April 14, 2020",Virginia,Petersburg,1700 block of Sycamore St,1,0,http://www.gunviolencearchive.org/incident/1658651,https://www.wric.com/news/local-news/the-tri-cities/man-killed-in-petersburg-shooting/
306,"April 14, 2020",Virginia,Richmond,3300 block of Stockton St,0,1,http://www.gunviolencearchive.org/incident/1658852,https://www.nbc12.com/2020/04/14/man-expected-be-ok-after-richmond-shooting/
307,"April 14, 2020",New York,Corona (Queens),90-34 148th St,0,0,http://www.gunviolencearchive.org/incident/1658927,https://twitter.com/NYC_Alerts911/status/1249930007138447370
308,"April 14, 2020",Illinois,Freeport,S Galena Ave and S Chicago Ave,0,1,http://www.gunviolencearchive.org/incident/1658961,https://www.wifr.com/content/news/Freeport-Police-investigating-overnight-shooting-569624781.html
309,"April 14, 2020",Mississippi,Gulfport,Klein Rd,1,0,http://www.gunviolencearchive.org/incident/1658980,https://www.sunherald.com/news/local/crime/article242008736.html
310,"April 14, 2020",Vermont,Vernon,,0,0,http://www.gunviolencearchive.org/incident/1659176,https://vtstatepolice.blogspot.com/2020/04/westminster-barracks-criminal.html
311,"April 14, 2020",Mississippi,Starkville,160 Hollywood Blvd,0,1,http://www.gunviolencearchive.org/incident/1658988,https://www.wcbi.com/shooting-reported-at-academy-sports-in-starkville/
312,"April 14, 2020",New York,Buffalo,50 block of Mariner St,0,2,http://www.gunviolencearchive.org/incident/1659672,https://www.wivb.com/news/crime/2-men-hospitalized-after-shooting-in-buffalo/
313,"April 14, 2020",Illinois,Chicago,300 block of S Homan Ave,1,1,http://www.gunviolencearchive.org/incident/1658903,https://chicago.suntimes.com/crime/2020/12/10/22168586/carter-collins-man-fired-31-rounds-fatal-april-shooting-west-side-prosecutors
314,"April 14, 2020",Ohio,Springfield,Clay St,1,0,http://www.gunviolencearchive.org/incident/1659079,https://www.whio.com/news/crime-and-law/reports-juvenile-shot-clay-street-springfield/FJEI5MFDI5EMFB6P6AGXACCXOM/
315,"April 14, 2020",Texas,Houston,4900 block of Mohawk St,0,2,http://www.gunviolencearchive.org/incident/1659681,https://www.khou.com/article/news/crime/woman-shot-in-head-man-wounded-in-northeast-harris-county-drive-by/285-110696f4-1f59-45a3-808f-69f4763469a9
316,"April 14, 2020",Louisiana,New Orleans,Strathmore Dr and Briarheath Dr,0,3,http://www.gunviolencearchive.org/incident/1659063,https://www.nola.com/news/crime_police/article_29aeaa96-8b1f-11ea-ba38-3f4544a85761.html
317,"April 14, 2020",Texas,Houston,2400 Teague Rd,1,1,http://www.gunviolencearchive.org/incident/1658918,https://cityofhouston.news/update-one-suspect-charged-others-sought-in-fatal-shooting-at-2400-teague-road/?utm_source=rss&utm_medium=rss&utm_campaign=update-one-suspect-charged-others-sought-in-fatal-shooting-at-2400-teague-road
318,"April 16, 2020",Texas,Houston,550 Beaver Bend Rd,0,1,http://www.gunviolencearchive.org/incident/1660277,https://www.houstonchronicle.com/news/houston-texas/houston/article/Gun-toting-suspect-shot-by-deputy-in-north-Harris-15204601.php
319,"April 16, 2020",Nebraska,Deweese,Main St,0,1,http://www.gunviolencearchive.org/incident/1660286,https://www.1011now.com/content/news/Clay-County-suspect-wounded-in-DeWeese-569709621.html
320,"April 13, 2020",Florida,Okeechobee,NE Seventh St,0,0,http://www.gunviolencearchive.org/incident/1663823,https://lakeokeechobeenews.com/crime/teen-charged-with-aggravated-assault-with-deadly-weapon/
321,"April 13, 2020",Georgia,Atlanta,Fairburn Rd,0,1,http://www.gunviolencearchive.org/incident/1658679,https://www.cbs46.com/news/man-shot-while-walking-from-a-convenience-store/article_14fb324c-7e1b-11ea-b3da-0b2389e7a64b.html
322,"April 13, 2020",Maryland,Baltimore,600 block of S Smallwood St,0,1,http://www.gunviolencearchive.org/incident/1658642,https://baltimore.cbslocal.com/2020/04/14/2-men-shot-in-baltimore-monday-night/
323,"April 13, 2020",Arizona,Tucson,Valencia Rd and Headley Rd,0,0,http://www.gunviolencearchive.org/incident/1658997,https://www.kold.com/2020/04/14/dps-investigates-trooper-involved-shooting-near-midvale-park/
324,"April 13, 2020",Florida,Tavares,900 block of Maplewood St,0,1,http://www.gunviolencearchive.org/incident/1668581,https://www.dailycommercial.com/news/20200428/tavares-shooting-suspect-arrested-after-stealing-truck-with-gps
325,"April 13, 2020",California,Fresno,E Normal Ave and Mayfair Dr W,0,1,http://www.gunviolencearchive.org/incident/1657973,https://kmph.com/news/local/police-investigating-shooting-in-fresno-04-13-2020
326,"April 13, 2020",California,Fresno,Butler Ave and Chestnut Ave,0,1,http://www.gunviolencearchive.org/incident/1657975,https://abc30.com/shooting-chestnut-apartment-complex-fresno-southeast-shootings/6099320/
327,"April 13, 2020",Hawaii,Honolulu,Kaiolu St,0,0,http://www.gunviolencearchive.org/incident/1658690,https://www.staradvertiser.com/2020/04/17/hawaii-news/911-report/man-who-allegedly-shot-at-witness-of-waikiki-moped-crash-charged-with-attempted-murder/
328,"April 13, 2020",Ohio,Chillicothe,331 McKellar St,2,0,http://www.gunviolencearchive.org/incident/1658455,https://crawfordcountynow.com/local/two-dead-in-home-shooting/
329,"April 13, 2020",New Mexico,Roswell,1106 S Virginia Ave,0,0,http://www.gunviolencearchive.org/incident/1658008,http://74.50.159.52/dailybulletin.aspx#
330,"April 13, 2020",Florida,Deland,409 W Beresford Ave,0,1,http://www.gunviolencearchive.org/incident/1658554,https://www.news-journalonline.com/news/20200421/police-woman-shoots-deland-man-in-back-after-he-held-gun-to-her-sisterrsquos-head
331,"April 13, 2020",Connecticut,Bridgeport,300 block of Bishop Ave,0,0,http://www.gunviolencearchive.org/incident/1659308,https://www.doingitlocal.com/2020/04/bridgeport-news-shots-fired-241/
